City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
231,San Andres,12.5847,-81.7006,82.42,78,75,10.36,CO,broken clouds,2021-11-22 02:57:48
232,Parana,-31.732,-60.5238,75.51,55,0,6.89,AR,clear sky,2021-11-22 02:57:48
233,Nome,64.5011,-165.4064,-6.47,97,16,5.86,US,few clouds,2021-11-22 02:57:49
234,Port Macquarie,-31.4333,152.9167,68.9,100,75,12.66,AU,broken clouds,2021-11-22 02:55:13
235,Ponta Do Sol,32.6667,-17.1,69.01,80,17,6.62,PT,few clouds,2021-11-22 02:57:49
236,Margate,51.3813,1.3862,47.7,74,17,8.01,GB,moderate rain,2021-11-22 02:57:50
237,Ostrovnoy,68.0531,39.5131,28.71,64,100,28.61,RU,light snow,2021-11-22 02:57:50
238,La Ciotat,43.1748,5.6045,51.82,84,57,6.33,FR,broken clouds,2021-11-22 02:57:50
239,Oyama,36.3,139.8,58.82,79,100,2.84,JP,moderate rain,2021-11-22 02:57:51
240,Bethel,41.3712,-73.414,52.48,89,90,3.0,US,overcast clouds,2021-11-22 02:57:51
241,Itarema,-2.9248,-39.9167,78.8,81,34,11.77,BR,scattered clouds,2021-11-22 02:57:52
242,San Ramon De La Nueva Oran,-23.1322,-64.326,75.6,51,86,1.88,AR,overcast clouds,2021-11-22 02:57:52
243,Nago,26.5881,127.9761,75.36,76,55,13.27,JP,broken clouds,2021-11-22 02:57:53
244,Fort Morgan,40.2503,-103.8,39.85,45,40,5.75,US,scattered clouds,2021-11-22 02:57:53
245,Nioro,13.35,-15.75,77.31,34,85,1.92,GM,overcast clouds,2021-11-22 02:57:53
246,North Bend,43.4065,-124.2243,47.91,97,100,4.5,US,overcast clouds,2021-11-22 02:57:54
247,Cherskiy,68.75,161.3,-30.64,99,18,5.37,RU,few clouds,2021-11-22 02:57:54
248,Pinar Del Rio,22.4175,-83.6981,73.0,90,14,2.13,CU,few clouds,2021-11-22 02:57:54
249,Acajutla,13.5928,-89.8275,79.34,74,77,5.95,SV,broken clouds,2021-11-22 02:57:55
250,Luanda,-8.8368,13.2343,77.0,83,75,5.75,AO,broken clouds,2021-11-22 02:57:55
251,Pangai,-19.8,-174.35,84.31,70,20,8.05,TO,few clouds,2021-11-22 02:57:56
252,Boende,-0.2167,20.8667,70.74,99,100,2.15,CD,light rain,2021-11-22 02:57:56
253,Roros,62.5747,11.3842,22.84,80,90,1.14,NO,light shower snow,2021-11-22 02:57:56
